
2024/11/28 (16:55:14) | ===> btop++ v.1.4.0
2024/11/28 (16:55:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (17:03:14) | ===> btop++ v.1.4.0
2024/11/28 (17:03:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (17:22:33) | ===> btop++ v.1.4.0
2024/11/28 (17:22:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (17:23:09) | ===> btop++ v.1.4.0
2024/11/28 (17:23:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (17:29:45) | ===> btop++ v.1.4.0
2024/11/28 (17:29:45) | WARNING: Intel GPU: Failed to initialize PMU
